ID,Session,Online,Gender,Group,Age_Frac,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Group_Name,Age_YM,SES_inv,UG_Offer_Accept,Group,Train_Coef,AXCPT_t,CogFlex_t,SSRT,FlankerSwitch_t,FlankerInhib_t,Stroop_t,OneBack_WM_t,TwoBack_WM_t,Age_Frac_Imp,DG_RT_log,UG_RT_log,UG_Decision_RT_log,TD_AvgRT_log,DG_UG_RT_Diff_z,SES_inv_z,Perc_Delay_z,Delay_WMean_z,Reward_WMean_z,DG_Coins_Given_z,DG_UG_Diff_z,Corr_r_Exp_Delay_z,Corr_int_Exp_Delay_z,Corr_r_Exp_Reward_z,Corr_int_Exp_Reward_z,UG_Coins_Given_z,T_Matrix_z,T_Vocab_z,Corsi_WM_Span_z
14,1,0,F,1,8.241666667,7,21,4,17.39130435,Experimental,8.02,3.25,1,1,-4.855376307,-0.38957307,0.72897375,0.41383672,0.17695342,0.47721261,0.25265771,0.95833331,0.4642857,8.241666667,-1.413950059,-1.278311362,-2.357167971,-7.656949145,-0.621545875,0.229047612,1.497234517,-0.398372378,-0.241120337,0.886908255,-0.6787622,1.985503397,-1.22514233,-0.505903839,0.339866083,0.360386969,0.688338753,0.386621014,0.25369303
14,2,1,F,1,9.694444444,7,21,4,17.39130435,Experimental,9.08,3.25,0,1,-4.855376307,0.028098347,-0.45113903,-0.57481575,0.033717871,-0.48081911,-0.93650651,0.58333331,0.34523809,9.694444444,-1.653031742,-0.300633553,-1.951569817,-1.190867217,-3.807212014,0.229047612,1.3375477,0.958845152,2.368405123,-0.807689266,1.019815128,0.549315998,0.444161605,1.802115086,-2.412764212,0.360386969,-0.218581108,-3.190206794,0.25369303
15,0,0,M,1,10.6,8,25,6,23.07692308,Experimental,10.07,3.25,0,1,4.668904041,-0.59790361,-0.13339992,0.016326882,-0.67934048,-0.24674702,0.085988529,0.83333331,0.83333331,10.6,-0.41860068,-1.098040697,-2.566870588,-7.691428486,0.652829811,0.229047612,0.698800431,0.638915481,0.599972826,0.886908255,-0.6787622,-0.04816124,0.490660847,1.229913587,-0.837229573,0.360386969,0.285263259,-0.460522415,0.25369303
15,1,0,M,1,10.85277778,8,25,6,23.07692308,Experimental,10.01,3.25,0,1,4.668904041,-0.80452991,0.60608149,0.92464268,-0.867342,-0.26113316,0.83778346,0.91666669,0.88095242,10.85277778,-0.739235285,-0.710214979,-1.696349284,-7.12635519,-0.32736932,0.229047612,1.497234517,-1.871366704,-1.080383047,0.039609495,0.170526464,3.660467937,-3.091497532,-0.804351376,1.095442448,0.360386969,1.796796362,-0.084014224,0.25369303
15,2,1,M,1,12.30277778,8,25,6,23.07692308,Experimental,12.03,3.25,0,1,4.668904041,0.04826232,-0.80444503,0.56810856,-0.41292435,-0.22138715,-1.346681,0.92261904,0.91666669,12.30277778,-1.395045954,-0.245072768,-0.889683888,-0.055211829,-3.928365846,0.229047612,0.379426796,0.597127739,0.737098469,0.886908255,-0.6787622,-0.319820475,0.58774898,0.874566047,-0.842583347,0.360386969,-0.017043361,-2.437190414,0.25369303
16,0,0,F,1,7.197222222,8,12,9,64.28571429,Experimental,7.02,3.25,0,1,-1.273905706,0.86375034,-0.33051187,0.89144379,0.7881071,0.77219027,-0.5241816,0.95833331,0.20238094,7.197222222,-1.314305936,-1.357233292,-2.048208839,-7.53330742,-0.185173619,0.229047612,-0.099633655,0.623555331,0.780577524,0.039609495,0.170526464,-1.484679546,1.154672531,1.37789036,-1.024301535,0.360386969,0.8898765,0.198366918,-0.770139556
16,1,0,F,1,7.455555556,8,12,9,64.28571429,Experimental,7.05,3.25,1,1,-1.273905706,0.2978349,0.11657524,2.0181921,0.035288543,0.019426668,1.0833558,0.88690472,0.75,7.455555556,-1.312647821,-1.866778591,-3.376597265,-7.653327466,0.684658103,0.229047612,0.219739979,1.071535219,1.520494286,0.886908255,-0.6787622,0.663741637,0.47376376,0.333739648,-1.31011049,0.360386969,-0.722425476,1.798526727,-0.770139556
16,2,1,F,1,NA,8,12,9,64.28571429,Experimental,NA,3.25,0,1,-1.273905706,-0.73851383,1.0881059,-0.22144794,0.55647075,-0.6566174,-0.40465653,0.80952382,0.41666666,9.952777778,-1.384788227,-0.425547808,0.626648083,-0.667472614,-1.426780424,0.229047612,0.698800431,0.476863471,1.4514589,-1.654988026,1.869103792,-0.125087238,0.408114221,1.43603239,-1.575557717,0.360386969,1.796796362,-3.284333842,1.277525616
17,0,0,M,1,10.43333333,7,20,0,0,Experimental,10.05,3.75,0,1,-2.425941022,-0.72402942,-0.058531463,0.98510635,-0.55895656,0.21348433,0.54306239,0.79761904,0.95833331,10.43333333,-0.271552691,-0.646055573,-1.848927142,-7.741916814,0.090555269,1.046975943,-0.099633655,0.507215053,-1.286003936,0.039609495,0.170526464,0.290954658,0.234778932,-0.709579735,1.231494784,0.360386969,-0.520887729,-0.272268319,0.25369303
17,1,0,M,1,10.61388889,7,20,0,0,Experimental,10.07,3.75,0,1,-2.425941022,-0.020698555,1.3253171,-0.30659962,0.69336456,-0.077800363,0.65975231,0.91666669,0.66666669,10.61388889,-0.790500726,-0.646055573,-1.348217294,-6.431236354,-0.407076588,1.046975943,-0.41900729,0.64940602,0.844439919,0.886908255,-0.6787622,0.836907202,0.081777375,-1.240799723,-0.306382512,0.360386969,0.8898765,0.763129204,1.277525616
