ID,Session,DG_Coins_Given,DG_RT,UG_Offer_Accept,UG_Coins_Given,UG_Decision_RT,UG_RT,DG_UG_Diff,DG_UG_RT_Diff,tot_delay_perc,perc_hiconf_delay,perc_loconf_delay,hi_lo_conf_del_diff,AvgRT_3SD,AvgdelayRT_3SD,AvgimmRT_3SD,imm_del_RT_3SD_Diff,hi_lo_conf_RT_Diff,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Gender,Group,Age_Frac,Group_Name,Train_Coef,Age_YM
27,1,3,1.421833333,1,3,16.944,3.704571429,0,2.282738095,94.44444444,100,88.88888889,-11.11111111,998.7647059,998.7647059,NA,NA,561.1111111,0.283142857,2.344,0.104115565,-0.714,5.565,0.975527426,Trevor Roberts School,M,2,12.775,Control,-5.976103256,12.09
27,2,3,7.34195,1,NA,1.02188,NA,NA,NA,100,100,100,0,0.847016111,0.847016111,NA,NA,0.168351111,-0.008132208,4.909308539,0.248819695,1.253092448,-5.031051636,0.947892214,Trevor Roberts School,M,2,14.26666667,Control,-5.976103256,14.03
28,0,2,3.335333333,0,3,16.825,4.934428571,1,1.599095238,100,100,100,0,1551.222222,1551.222222,NA,NA,176.6666667,-0.368,2.571333333,0.164211343,1.752,-8.97,0.97634882,Trevor Roberts School,F,2,8.216666667,Control,3.505370977,8.02
28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,F,2,NA,Control,3.505370977,NA
28,2,3,1.64078,1,NA,0.67569,NA,NA,NA,27.77777778,44.44444444,11.11111111,-33.33333333,1.539470833,1.954171,1.379970769,0.574200231,0.014721667,-1.528760938,4.949248728,0.965662834,0.801061089,-2.026525442,0.918617338,Trevor Roberts School,F,2,9.869444444,Control,3.505370977,9.01
29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trevor Roberts School,M,1,8.416666667,Experimental,-1.551396059,8.05
29,1,2,1.726833333,0,2,12.546,3.300571429,0,1.573738095,100,100,100,0,1697.333333,1697.333333,NA,NA,168.6666667,2.571428571,-9,0.771428571,-0.23,5.33,0.949219451,Trevor Roberts School,M,1,8.558333333,Experimental,-1.551396059,8.06
29,2,1,5.512995,1,NA,3.715705,NA,NA,NA,72.22222222,88.88888889,55.55555556,-33.33333333,1.392468333,1.448018077,1.248039,0.199979077,0.287535556,-0.939381433,6.417028356,0.911553158,0.57464091,0.177459717,0.974995511,Trevor Roberts School,M,1,10.05555556,Experimental,-1.551396059,10
30,0,2,1.3205,0,3,7.892,2.059,1,0.7385,16.66666667,33.33333333,0,22.22222222,1145,1655,1043,612,-406.8888889,-0.866285714,1.218666667,0.845029905,1.497,-6,0.877500485,Pimlico Primary,F,1,10.67777778,Experimental,-3.738674676,10.08
30,1,3,1.126333333,0,3,3.518,1.302142857,0,0.175809524,44.44444444,55.55555556,33.33333333,-22.22222222,788.5882353,1233,477.5,755.5,255.2222222,1.524857143,-4.748666667,0.687938818,-0.855,3.62,0.940037677,Pimlico Primary,F,1,10.975,Experimental,-3.738674676,10.11
