P_ID,Gender,Age,Group,TrainingWeeks,TotalSessions,TotalLabelledSessions,TotalBonusGames,PercentageBonusDone,trainingslope
247.0,M,11.56666667,1.0,8.0,29.0,32.0,4.0,12.90322581,0.8642958559999999
248.0,M,,,,,,,,
249.0,F,,,,,,,,
250.0,M,9.027777777999999,1.0,8.0,27.0,29.0,5.0,17.24137931,-4.053227237
251.0,F,8.822222222,2.0,8.0,24.0,24.0,8.0,33.33333333,-15.90688023
252.0,F,10.11944444,2.0,2.0,3.0,3.0,2.0,66.66666667,-109.4527293
253.0,F,,,,,,,,
254.0,M,,,,,,,,
255.0,F,7.0138888889999995,2.0,8.0,31.0,31.0,4.0,12.90322581,-11.16956384
256.0,F,6.988888889,1.0,,,,,,
257.0,M,,,,,,,,
258.0,F,9.277777777999999,2.0,,,,,,
259.0,M,7.175,2.0,,,,,,
260.0,F,11.24722222,2.0,6.0,17.0,22.0,2.0,11.76470588,6.2168477
261.0,F,8.175,2.0,8.0,29.0,30.0,5.0,17.24137931,14.13530697
262.0,M,9.025,2.0,,,,,,
263.0,M,11.25833333,2.0,,,,,,
264.0,M,,,,,,,,
265.0,F,9.969444444,1.0,,,,,,
,,,,4.0,7.0,8.0,4.0,50.0,17.6533895
