Participant,Group,Date,Weeks,Tot_session,LabelledSessions,Games,NumGames,TotalTrials,Perc_inhibitTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_errors,P_go_errors,premature_go,too_late_responses,stop_trials,correct_inhibits,false_alarms,prem_false_alarms,P_go_omission,P_Hit,P_false_alarm,P_corr_inhibit,P_val_adjusted,dprime,dprime_bias,mean_all_goRT,mean_stopRT,mean_SSD,SSD_std,mean_SSRT0,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_goRT2,mean_Corr_goRT,mean_InCorr_goRT,std_all_goRT,std_combined_goRT2,std_Corr_goRT,std_InCorr_goRT,std_StopRT,CovVar_all_goRT,CovVar_all_goRT2,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_StopRT,New_seq_session
1,1,30/06/2019,7,20,21,,2,101,33.66336634,74.25742574,75,56,67,11,0,0,0,0,0,34,19,15,3,0.164179104,1,0.441176471,0.558823529,0.441176471,5.878715979,-2.79137088,1075.437768,902.219,751.980198,78.0771388,323.4575698,274.544802,274.544802,274.544802,1026.525,1026.525,1026.525,,,,0,1075.437768,1075.437768,NaN,208.3717178,208.3717178,208.3717178,NaN,169.2775106,0.193755254,0.193755254,0.193755254,NaN,0.187623527,20
1,1,30/06/2019,7,20,21,,1,51,41.17647059,76.47058824,39,26,30,4,0,0,0,0,0,21,13,8,0,0.133333333,1,0.380952381,0.619047619,0.380952381,6.033709317,-2.713874211,1126.105,1000.448125,869.6078431,108.2027871,256.4971569,169.4371569,169.4371569,169.4371569,1039.045,1039.045,1039.045,,,,0,1126.105,1126.105,NaN,192.974656,192.974656,192.974656,NaN,119.5394018,0.171364709,0.171364709,0.171364709,NaN,0.119485857,20
1,1,01/07/2019,7,21,22,,2,111,46.84684685,66.66666667,74,45,59,14,0,0,0,0,0,52,29,23,10,0.237288136,1,0.442307692,0.557692308,0.442307692,5.87584981,-2.792803964,915.4446667,794.7604348,828.8288288,143.8985674,86.61583784,14.39117117,14.39117117,14.39117117,843.22,843.22,843.22,,,,0,915.4446667,915.4446667,NaN,307.7770286,307.7770286,307.7770286,NaN,374.6465993,0.33620495,0.33620495,0.33620495,NaN,0.471395634,21
1,1,01/07/2019,7,21,22,,1,54,31.48148148,74.07407407,40,33,37,3,0,1,0.027027027,0,0,17,7,10,3,0.081081081,1,0.588235294,0.411764706,0.588235294,5.507721038,-2.97686835,1071.900588,939.9195,874.0740741,63.499176,197.8265142,204.6209259,204.6209259,204.6209259,1078.695,1078.695,1078.695,,,,0,1071.900588,1057.985606,1531.095,192.2686167,192.2686167,177.0124557,0,158.8424245,0.179371687,0.179371687,0.167310835,0,0.168995775,21
1,1,02/07/2019,8,22,23,,2,122,31.96721311,78.68852459,96,76,83,7,0,0,0,0,0,39,20,19,0,0.084337349,1,0.487179487,0.512820513,0.487179487,5.762870663,-2.849293538,872.8289474,700.0526316,467.2131148,65.79786596,405.6158326,378.7868852,378.7868852,378.7868852,846,846,846,,,,0,872.8289474,872.8289474,NaN,198.1415244,198.1415244,198.1415244,NaN,98.70127416,0.227010716,0.227010716,0.227010716,NaN,0.140991219,22
2,1,19/05/2019,1,1,1,,2,116,30.17241379,64.65517241,75,54,81,26,0,0,0,1,0,35,21,14,0,0.320987654,1,0.4,0.6,0.4,5.984075972,-2.738690883,764.2115455,575.1907143,310.3448276,118.9660604,453.8667179,353.5151724,353.5151724,353.5151724,663.86,663.86,663.86,,,,0,764.2115455,777.4062963,51.695,246.0608823,246.0608823,227.8861192,0,151.7041171,0.321980064,0.321980064,0.293136446,0,0.263745769,1
2,1,20/05/2019,1,3,3,,2,126,45.23809524,70.63492063,89,58,69,3,0,7,0.101449275,1,0,57,31,22,1,0.043478261,1,0.456140351,0.543859649,0.456140351,5.840891117,-2.810283311,779.415303,654.4013636,290.8730159,151.446465,488.5422872,388.1869841,388.1869841,438.4469841,679.06,679.06,729.32,,,,0,779.415303,794.3878448,670.864375,288.9618276,288.9618276,255.6508094,477.3130281,260.9879662,0.370741794,0.370741794,0.32182115,0.711489603,0.398819411,2
2,1,20/05/2019,1,3,3,,1,70,30,72.85714286,51,40,49,9,0,0,0,0,0,21,11,10,0,0.183673469,1,0.476190476,0.523809524,0.476190476,5.790445969,-2.835505885,962.03075,778.252,475.7142857,64.12332838,486.3164643,409.2307143,409.2307143,409.2307143,884.945,884.945,884.945,,,,0,962.03075,962.03075,NaN,186.1860843,186.1860843,186.1860843,NaN,187.8564587,0.193534442,0.193534442,0.193534442,NaN,0.241382558,3
2,1,21/05/2019,1,4,4,,2,132,30.3030303,75.75757576,100,82,92,1,0,7,0.076086957,2,0,40,18,21,0,0.010869565,1,0.55,0.45,0.55,5.605067522,-2.928195108,579.2087912,472.7142857,206.8181818,68.73245155,372.3906094,326.1818182,326.1818182,339.1818182,533,533,546,,,,0,579.2087912,568.1585366,679.8888889,239.3575436,239.3575436,194.8526806,497.4521194,140.1913488,0.413249155,0.413249155,0.342954771,0.731666788,0.29656677,4
2,1,21/05/2019,1,4,4,,1,77,31.16883117,61.03896104,47,34,53,19,0,0,0,0,0,24,13,11,1,0.358490566,1,0.458333333,0.541666667,0.458333333,5.835362325,-2.813047707,1005.264706,758.5454545,443.5064935,65.56969442,561.7582124,469.4935065,469.4935065,469.4935065,913,913,913,,,,0,1005.264706,1005.264706,NaN,318.6281493,318.6281493,318.6281493,NaN,161.9996072,0.316959451,0.316959451,0.316959451,NaN,0.213566117,4
2,1,22/05/2019,1,5,5,,1,85,30.58823529,69.41176471,59,49,59,9,0,0,0,1,0,26,10,16,4,0.152542373,1,0.615384615,0.384615385,0.615384615,5.437347637,-3.012055051,836.8358,667.24875,448.8235294,109.6467463,388.0122706,502.4664706,502.4664706,502.4664706,951.29,951.29,951.29,,,,0,836.8358,852.2021429,83.885,330.9004301,330.9004301,315.7911569,0,249.2452284,0.395418588,0.395418588,0.37055898,0,0.373541694,5
2,1,28/05/2019,2,6,6,,2,99,29.29292929,87.87878788,87,66,70,3,0,0,0,1,0,29,21,8,1,0.042857143,1,0.275862069,0.724137931,0.275862069,6.325907403,-2.567775168,828.1641791,695.25,396.969697,170.0567405,431.1944821,297.030303,297.030303,297.030303,694,694,694,,,,0,828.1641791,840.2878788,28,277.9693463,277.9693463,261.641432,0,112.455388,0.335645218,0.335645218,0.311371184,0,0.161748131,6
2,1,28/05/2019,2,6,6,,1,90,30,83.33333333,75,62,63,0,0,0,0,1,0,27,13,14,3,0,1,0.518518519,0.481481481,0.518518519,5.684293144,-2.888582297,704.7936508,444.2142857,292.2222222,84.4383663,412.5714286,379.7777778,379.7777778,379.7777778,672,672,672,,,,0,704.7936508,716.1290323,2,296.9686721,296.9686721,285.3217616,0,203.133597,0.421355487,0.421355487,0.39842228,0,0.457287403,6
2,1,29/05/2019,2,7,7,,2,110,45.45454545,81.81818182,90,54,60,4,0,1,0.016666667,1,0,50,36,14,0,0.066666667,1,0.28,0.72,0.28,6.313570377,-2.573943681,792.3221429,726.5178571,487.2727273,213.3649546,305.0494156,163.0522727,163.0522727,163.0522727,650.325,650.325,650.325,,,,0,792.3221429,791.5975,811.8875,283.5326894,283.5326894,253.1423786,1012.127898,229.9024699,0.357850266,0.357850266,0.319786733,1.246635646,0.316444348,7
2,1,29/05/2019,2,7,7,,1,95,29.47368421,76.84210526,73,61,67,2,0,0,0,4,0,28,12,16,1,0.029850746,1,0.571428571,0.428571429,0.571428571,5.550716499,-2.95537062,563.9604615,357.575,127.3684211,73.57454645,436.5920405,511.2665789,511.2665789,511.2665789,638.635,638.635,638.635,,,,0,563.9604615,595.8495082,77.65249999,281.9837218,281.9837218,260.7745763,15.62409918,193.5823859,0.50000619,0.50000619,0.437651744,0.201205359,0.541375616,7
2,1,30/05/2019,3,8,8,,2,138,30.43478261,78.26086957,108,86,96,1,0,6,0.0625,2,0,42,22,19,0,0.010416667,1,0.476190476,0.523809524,0.476190476,5.790445969,-2.835505885,658.6130851,586.2181579,295.2898551,115.5576263,363.32323,333.2151449,333.2151449,341.0301449,628.505,628.505,636.32,,,,0,658.6130851,667.1843605,566.471875,228.6834506,228.6834506,213.933585,358.3806542,238.5148645,0.347219719,0.347219719,0.320651379,0.632653923,0.406870482,8
2,1,31/05/2019,3,9,9,,2,100,44,67,67,43,56,11,0,2,0.035714286,0,0,44,24,18,0,0.196428571,1,0.454545455,0.545454545,0.454545455,5.844914164,-2.808271787,945.3157778,907.0222222,496,261.8581619,449.3157778,386.48,386.48,448.435,882.48,882.48,944.435,,,,0,945.3157778,971.8473256,374.8875,355.6801235,355.6801235,340.8593902,74.47602173,353.805458,0.376255355,0.376255355,0.350733476,0.198662323,0.390073638,9
2,1,31/05/2019,3,9,9,,1,71,29.57746479,76.05633803,54,44,50,5,0,0,0,0,0,21,10,11,5,0.1,1,0.523809524,0.476190476,0.523809524,5.671011769,-2.895222985,920.4196591,723.3627273,673.943662,49.89929496,246.4759971,249.461338,249.461338,249.461338,923.405,923.405,923.405,,,,0,920.4196591,920.4196591,NaN,281.803809,281.803809,281.803809,NaN,201.7191631,0.306168829,0.306168829,0.306168829,NaN,0.278863087,9
2,1,03/06/2019,3,10,10,,2,115,32.17391304,76.52173913,88,68,78,4,0,5,0.064102564,1,0,37,20,15,7,0.051282051,1,0.459459459,0.540540541,0.459459459,5.832524468,-2.814466635,748.3881081,664.074,479.1304348,214.699158,269.2576733,144.6945652,144.6945652,183.8145652,623.825,623.825,662.945,,,,0,748.3881081,766.6079412,541.8966667,298.9917833,298.9917833,279.2693797,452.1251357,319.8986825,0.399514343,0.399514343,0.364292313,0.834338285,0.481721438,10
