id,timepoint,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
165,0,487.82224,349,-0.82625425,0.57442242,5
165,1,498.97369,279.17648,-0.37780917,-0.46532327,5
165,2,509.30768,257.33334,0.81694162,-0.33051187,6
166,0,436.86154,276.46155,0.7442252,-0.092304304,6
166,1,530.65216,199.29411,0.009628696,-0.88054276,6
166,2,609.78259,251,0.055634663,-0.82419473,6
167,0,679.94739,175,-0.079867892,-0.1823895,4
167,1,679.94739,211.05882,0.050275877,-0.15507679,5
167,2,703.70367,175.29411,-0.77335727,-0.58331692,6
168,0,718.41669,185,-0.062314138,0.14876474,6
168,1,NA,NA,NA,NA,NA
168,2,NA,NA,NA,NA,NA
169,0,436.68182,244,0.43932983,0.72321856,5
169,1,NA,NA,NA,NA,NA
169,2,NA,NA,NA,NA,NA
170,0,596.4762,261,0.30052531,0.56981242,6
170,1,731.48279,255.88889,-0.36429727,-0.15271182,6
170,2,641.383,264.22223,0.038962096,-0.096909046,6
171,0,774.86365,283,-0.3294217,0.018704951,5
171,1,726.58698,151.77777,0.021036221,0.35964051,5
171,2,544.33331,275.78946,0.4881326,0.038176686,7
172,0,803.70587,278.75,-0.39998904,-0.24906962,6
172,1,687.59088,295,0.012295486,-0.81777871,6
172,2,808.71429,98.888885,-0.59145075,1.2347821,7
173,0,553.82758,223,-0.63653433,-0.92143095,6
173,1,547.39026,95.5,0.41160566,-0.19894433,NA
173,2,546.0741,NA,0.036490314,0.46224639,8
