id,timepoint,CorticalThickness,Rputa.frontal_FA,Rputa.frontal_MD,Rputa.frontal_RD,Rcaud.frontal_FA,Rcaud.frontal_MD,Rcaud.frontal_RD,HavardOxford_Cortl,DMN,FPN,CON
91,0,2.845353337,0.403136,8.99E-04,6.87E-04,0.378844,9.34E-04,7.29E-04,0.967017083,0.412528685,0.191178388,0.303507681
92,0,2.944181995,0.404576,8.67E-04,6.67E-04,0.389853,9.06E-04,7.05E-04,-1.239735658,0.425964211,0.311513731,0.276193933
93,0,2.903309188,0.371353,8.67E-04,6.81E-04,0.353266,8.62E-04,7.46E-04,1.69945165,0.294960595,0.342811239,0.473912178
94,0,3.049592437,0.401349,8.63E-04,6.63E-04,0.363527,9.06E-04,7.16E-04,2.730621567,0.2292435,0.564312061,0.268371247
96,0,2.886374267,0.405112,9.43E-04,6.48E-04,0.39653,9.11E-04,7.16E-04,1.787934841,0.267144701,0.264255958,0.259858611
97,0,2.91165955,0.396964,9.10E-04,6.28E-04,0.385477,9.23E-04,7.16E-04,0.251264383,0.253377138,0.190234615,0.259235113
98,0,2.843180553,0.408778,8.52E-04,6.45E-04,0.409084,9.85E-04,7.46E-04,4.552241381,0.280958503,0.223396339,0.22448947
99,0,2.902305419,0.402331,9.43E-04,6.90E-04,0.363553,9.03E-04,7.38E-04,1.483514393,0.26753729,0.225701757,0.170352197
101,0,2.994315857,0.376505,8.94E-04,7.02E-04,0.326272,9.59E-04,7.83E-04,-0.797863328,0.310310428,0.251291409,0.244967713
103,0,2.958794308,0.449326,8.77E-04,6.43E-04,0.407827,9.52E-04,7.25E-04,1.3917256,0.225135186,0.325393312,0.283509329
104,0,3.002730657,0.430711,9.10E-04,7.00E-04,0.366564,9.11E-04,7.07E-04,4.861541436,0.196919199,0.322736985,0.330921737
105,0,2.744165946,0.42587,8.32E-04,6.21E-04,0.419778,8.51E-04,6.42E-04,0.099036396,0.482524688,0.174234518,0.37487938
106,0,2.893739056,0.409834,8.73E-04,6.63E-04,0.397202,9.13E-04,7.03E-04,0.29433161,0.392560488,0.318917245,0.38688862
107,0,2.773790476,0.392494,8.66E-04,6.69E-04,0.384075,9.11E-04,7.38E-04,0.335124315,0.344022001,0.238920835,0.177209449
108,0,2.686119991,0.402381,9.43E-04,6.28E-04,0.362685,9.03E-04,7.07E-04,-3.909561899,0.31985522,0.384097227,0.341835679
109,0,2.767227412,0.396664,9.08E-04,7.02E-04,0.353906,9.64E-04,7.67E-04,-5.06255571,0.268092579,0.374799649,0.313548999
112,0,2.960384425,0.378623,9.29E-04,7.29E-04,0.390421,0.00102881,8.00E-04,0.259302632,0.195125017,0.199530926,0.227303141
113,0,3.000863923,0.405046,8.83E-04,6.75E-04,0.43182,9.52E-04,7.06E-04,1.663877658,0.385394528,0.190234615,0.44787118
114,0,2.814358551,0.382612,8.86E-04,6.91E-04,0.391402,9.47E-04,7.33E-04,-1.015221505,0.18034343,0.327517951,0.264483861
115,0,2.988287911,0.403154,8.68E-04,6.72E-04,0.403589,8.62E-04,7.16E-04,0.916514508,0.411538111,0.277124303,0.360816713
