id,gender,age,group,training_sessions,Total,training_slope,timepoint
166,M,10.74722222,1,7,16,-3.560196197,1
167,F,8.736111111,2,6,2,-15.20583152,1
168,M,9.002777778,1,1,NA,NA,1
169,M,9.505555556,2,NA,NA,NA,1
170,F,8.925,1,8,18,-10.08051894,1
171,M,8.041666667,1,5,20,-12.35764071,1
172,M,7.802777778,2,8,9,-16.14204738,1
173,F,10.65,2,NA,NA,NA,1
174,F,8.925,1,8,20,-3.233066971,1
175,M,9.275,2,NA,NA,NA,1
176,M,9.141666667,2,6,26,-3.183724767,1
177,M,7.425,1,3,8,-9.295216135,1
178,M,9.502777778,1,6,6,5.815364872,1
179,M,6.188888889,2,1,11,-122.2350362,1
180,M,6.063888889,2,8,22,-8.072374293,1
181,M,6.308333333,1,NA,NA,NA,1
182,F,8.583333333,2,7,27,-6.502746867,1
183,F,10.29166667,2,7,26,-10.99424511,1
184,F,7.305555556,1,8,24,-52.07152931,1
185,F,10.06111111,1,7,7,-2.011280021,1
186,F,8.833333333,2,4,19,-9.617289919,1
187,M,9.872222222,2,8,18,0.356145237,1
188,F,6.988888889,1,5,20,31.87082653,1
189,M,10.28888889,1,3,11,-47.83998707,1
190,M,10.06666667,2,6,21,-15.06741094,1
191,M,9.763888889,1,3,18,-21.62318581,1
192,M,8.761111111,1,NA,NA,NA,1
193,M,10.48611111,2,1,14,6.348896894,1
194,F,10.37222222,2,5,14,4.146820547,1
195,M,10.37222222,2,6,23,-3.260987061,1
196,M,8.608333333,2,NA,NA,NA,1
197,F,11.25277778,1,NA,NA,NA,1
198,M,11.56666667,2,NA,NA,NA,1
199,F,9.533333333,2,NA,NA,NA,1
200,M,7.180555556,1,NA,NA,NA,1
201,M,9.069444444,1,8,6,-0.026824117,1
202,F,11.23611111,2,8,14,-1.09114196,1
203,F,7.711111111,2,NA,20,NA,1
204,F,11.15277778,1,8,21,-5.539820276,1
205,F,NA,1,NA,NA,NA,1
206,M,NA,1,NA,NA,NA,1
207,M,NA,1,NA,NA,NA,1
208,M,7.844444444,1,8,11,-5.579989959,1
209,M,8.641666667,2,8,26,-2.363915723,1
210,M,8.666666667,1,NA,NA,NA,1
211,M,10.71111111,1,NA,NA,NA,1
212,M,7.788888889,1,1,NA,NA,1
213,M,11.875,1,8,25,-0.64807277,1
214,M,10.71388889,2,4,14,-14.04629431,1
215,M,10.71666667,2,NA,NA,NA,1
216,F,8.733333333,2,NA,NA,NA,1
217,M,8.686111111,1,4,11,-6.498787527,1
218,M,NA,2,NA,NA,NA,1
219,M,NA,2,NA,NA,NA,1
220,M,NA,2,NA,NA,NA,1
221,F,9.008333333,1,7,21,-15.12445142,1
222,M,7.513888889,1,5,20,-5.118284974,1
223,M,8.644444444,1,1,NA,NA,1
224,M,NA,2,NA,NA,NA,1
225,F,NA,1,NA,NA,NA,1
226,M,9.583333333,1,8,6,-4.492030663,1
227,F,NA,1,NA,NA,NA,1
228,M,11.38888889,1,7,20,-23.83099733,1
229,M,NA,1,NA,NA,NA,1
230,M,NA,1,NA,NA,NA,1
231,F,NA,2,NA,NA,NA,1
232,M,7.763888889,1,NA,NA,NA,1
233,F,10.95555556,2,7,18,-5.122455289,1
234,M,NA,2,NA,NA,NA,1
235,M,NA,2,NA,NA,NA,1
237,M,10.28333333,2,4,23,-9.38820646,1
238,M,10.28333333,2,4,18,-2.403695033,1
246,M,11.56666667,1,8,12,2.031147095,1
247,M,11.56666667,1,8,16,0.864295856,1
250,M,9.027777778,1,8,24,-4.053227237,1
