p_id,session,age,group,meango_corrrtnr_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_t,PBI_RT_t,cf_switchrt_t,dprimeONEBACK_t,dprimeTWOBACK_t,oneback_hits_av_rt_t,twoback_hits_av_rt_t,stroop_rt_t,flankerswitch_rt_t,flank_inh_rt_t
52,t0,10.280556,Exp,716.72729,5,28,-2.4134259,127,0.71948576,2.0051842,190.55554,0.95833331,0.13095239,5147,4662.5,300.12463,105.30005,18.050018
52,t1,10.280556,Exp,613.6087,4,28,-2.4134259,168.75,-0.88399506,-0.29228693,268.18176,0.85119045,0.39285713,5109.625,4986,203.37219,-256.59998,8.3000488
53,t0,8.6861115,Exp,697.84851,6,18,-5.7826152,269,-0.24802272,0.47622195,326.22815,0.95833331,0.91666669,4396.5,5038.875,152.07715,155.75,62.900024
53,t1,8.6861115,Exp,657.23077,6,18,-5.7826152,286,-0.23404257,-0.60920435,403.82495,0.95833331,0.6785714,4986.6001,4986,95.070557,33.299988,3.25
54,t0,6.7611113,Exp,386.36923,6,22,-11.491902,308,-0.82917964,-0.48793063,240.85291,0.92261904,0.51190472,4996,3784.1428,164.95642,83.250031,-41.700012
54,t1,6.7611113,Exp,421.86667,6,22,-11.491902,306.23077,0.50987691,-11.195237,330.19415,0.95833331,0.71428573,4152.0908,4014.5557,61.047363,103.65002,-21.300018
55,t0,7.686111,Con,619.01642,4,21,-5.5640521,140.46153,0.48384112,4.9230013,493.2879,0.95833331,0.79761904,5148,5147.7778,209.6936,64,-19.599976
55,t1,7.686111,Con,422.67606,6,21,-5.5640521,310,-0.29327708,-0.21815574,389.08618,0.95833331,0.92261904,4937,4986.2222,557.73535,235.14996,-16.050018
56,t0,9.0527782,Con,654.06348,7,12,2.0144694,250.69231,0.26541236,31.430063,283.51111,0.91666669,0.83333331,4984.875,4939.75,175.45752,100.90002,71.699951
56,t1,9.0527782,Con,559.18866,6,12,2.0144694,107.75,0.33181772,-7.7635746,129.00549,0.88690472,0.88095242,4329.8335,4604.25,233.91382,83.250031,-5.5499878
57,t0,8.9083338,Con,454.95081,6,12,1.1023194,284.76923,-2.0938334,-2.3840213,290.97644,0.92261904,0.77380955,4451.5835,4192.2729,298.66077,14.900024,34.200012
57,t1,8.9083338,Con,576.17908,7,12,1.1023194,174.69231,0.62585628,-23.27923,275.94739,0.95833331,0.77976191,3923.1667,4102.4165,283.3667,-17.599976,-1.6999512
58,t0,7.6527777,Con,508.61819,5,30,-11.854069,254.30769,-0.063519306,-15.200597,299.24451,0.74404758,0.26190478,5147,4754.75,142.55359,-46.200012,47.100037
58,t1,7.6527777,Con,517.73529,5,30,-11.854069,323.23077,0.17473949,-2.5898681,341.85779,0.71428573,0.38095236,4986,4581.7998,-153.9397,120.29999,117.90002
59,t0,7.5805554,Exp,710.39655,4,14,-16.192995,336,-2.2635462,-1.4232112,192.50647,0.66666669,0.51190472,5147.3999,5113.7998,101,173.54999,41.549988
59,t1,7.5805554,Exp,637.60345,5,14,-16.192995,221,2.8644118,-1.8058975,231.84998,0.92261904,0.66666669,5147,5147,-383.90002,-54.300049,131.64996
60,t0,6.7861109,Exp,670.22949,4,10,-88.592064,189,-0.53858209,-1.7601999,233.17139,0.95833331,0.58333331,5147.625,5147.6665,227.95532,62.300049,0
60,t1,6.7861109,Exp,475.03391,4,10,-88.592064,136,0.32100555,-3.2809582,277.93457,0.76190472,-0.059523813,4997.6665,4491.5,142.46484,173.54999,54.549988
61,t0,9.6499996,Exp,558.25,4,17,2.781496,234,1.0033829,0.70211464,437.05554,0.85119045,0.33333331,5147.8887,4260.1431,81.130371,21.450012,33.899963
61,t1,9.6499996,Exp,595.94116,5,17,2.781496,166,0.14117721,40.830246,249.53333,0.66666669,0.26190478,4986.7144,4745.5,-2.0731201,124.5,31.299988
62,t0,9.8861113,Exp,461.20895,6,9,-19.434219,229,0.50161183,3.4033954,154.16913,0.91666669,0.71428573,5147.625,4766.4443,122.20776,250.34998,4.6500244
62,t1,9.8861113,Exp,657.44116,6,9,-19.434219,248.75,0.55911529,0.94533974,283.51111,0.91666669,0.71428573,5147.625,4766.4443,144.33997,250.34998,4.6500244
65,t0,10.083333,Exp,490.80951,5,14,-3.3619266,236,0.79656529,1.5666823,144.39563,0.88095242,0.17857143,3926.1819,3091.3333,89.528687,12.75,-47
65,t1,10.083333,Exp,602.5517,5,14,-3.3619266,225,-0.084088236,-8.6525326,656.13336,0.76190472,0.10714287,3890.3,3848.3333,156.42871,31,76.200012
66,t0,8.1194448,Exp,689.24194,6,16,-12.120771,203,0.54113603,-41.571407,357.47217,0.6785714,0.63095242,4559.5557,4202.5,130.22021,-31.75,-8
66,t1,8.1194448,Exp,705.4314,5,16,-12.120771,205.38461,0.16123822,6.6700344,809.61584,0.88690472,0.64285713,5020.8887,4992.7998,111.89465,95.299988,4.1500244
67,t0,10.138889,Con,502.67188,7,15,-12.508991,212,0.49257055,4.6168604,775.875,0.81547618,0.52380955,4317.25,4270.75,144.33997,60.5,-10.850006
67,t1,10.138889,Con,487.32144,7,15,-12.508991,249.23077,0.5524711,2.5549679,-28.84613,0.92261904,0.88095242,4313.5454,4986,470.93091,199.10004,-2.3500366
68,t0,6.5250001,Con,612.06818,4,17,-4.3802972,241,0.22309437,-1.3522681,677.33331,0.66666669,0.041666668,4986,3406.25,534.57874,18.850006,18
68,t1,6.5250001,Con,620.93219,4,17,-4.3802972,265,2.3568716,5.3890519,462.91974,0.5,0.57142854,4478.2222,4986,507.43274,30.450012,-57.349976
69,t0,6.852778,Exp,486.66666,4,12,-5.0431175,366.61539,1.3514719,-1.8149728,339.07141,0.84523809,0.38095239,4986,4986.2002,601.4375,91.899994,-425.90002
69,t1,6.852778,Exp,619.01642,5,12,-5.0431175,249,0.39753821,-0.85471904,674.3125,0.66666669,0.23809522,5052.7998,5003.5,203.37219,166.40002,782.69995
70,t0,6.6555557,Con,604.72308,5,12,-15.521034,347,-0.44171834,-1.3470211,64.006592,0.91666669,0.41666666,5005.5713,4915.6001,237.6748,-24.400024,8.4000244
70,t1,6.6555557,Con,454.95081,4,12,-15.521034,262,0.32100555,-1.3470211,462.91974,0.92261904,0.34523809,4937,3134.5,542.4176,173.54999,37.300049
71,t0,6.1527777,Exp,458.05264,4,29,0.75006956,257,-0.33524725,-4.2387114,693.21924,0.77976191,0.095238097,4553.5835,3020,34.219238,78.299988,-21.899963
71,t1,6.1527777,Exp,622.90002,4,29,0.75006956,112.38461,0.86376137,13.936395,153.41113000000001,0.92261904,0.27380949,3842,4905.2002,322.11243,76.049988,89.700012
72,t0,8.4333334,Exp,816.19611,5,8,-13.461528,326.53845,0.89647007,7.6462712,315.15295,0.95833331,0.54761904,5000.25,4717.2856,190.96472,344.65002,4.25
72,t1,8.4333334,Exp,629.48279,7,8,-13.461528,175,0.34105819,3.1013465,99.146423,0.92261904,0.35714287,4165,4530.2002,105.17462,502.34998,-25.449951
73,t0,10.755555,Con,417.26086,5,27,-3.8913217,255.53847,0.09736675,0.016649589,186.44446,0.92261904,0.57142854,3910.6667,4315.8887,135.0813,102,58.649994
73,t1,10.755555,Con,382.81946,6,27,-3.8913217,268,0.87082785,-1502.6738,148.07843,0.92261904,0.73809528,3668.5,3863.2727,42.800049,-59.600006,76.950012
74,t0,10.061111,Con,462.43243,5,29,-4.9554925,282,-0.40584901,2.5164347,119.26898,0.69047618,0.34523809,4986,4082,72.818726,-33.399963,-25.700012
74,t1,10.061111,Con,466.13113,5,29,-4.9554925,200,-0.24103329,-1.2947563,393.42688,0.85119045,0.13095239,4986,4986.5,194.96362,-239.95001,33.400024
75,t0,8.9972219,Con,569,7,10,-20.564966,154.07692,-0.35357535,1.0783445,419.45837,0.88690472,0.84523809,4986,4986,94.981079,124.25,59.75
75,t1,8.9972219,Con,817.16669,5,10,-20.564966,238,0.15562522,-0.037531074,407.79736,0.95833331,0.80952382,4986.25,5026.1665,429.81262,33.299988,-37.5
76,t0,10.2,Exp,807,7,25,0.41769537,309.17648,-0.12805675,0.50909573,207.54968,0.88690472,0.84523809,4986.25,4960.9092,-34.852905,-45.400024,125.15002
76,t1,10.2,Exp,680.40002,6,25,0.41769537,201.84616,-0.096947238,6.6037903,133.15442,0.91666669,0.64285713,4986.375,4986,46.641113,151.79999,165.95001
77,t0,6.2416668,Exp,663.48438,4,28,-6.687573,320.84616,-0.16069773,0.58330649,586.88831,0.88095242,0.059523813,4986.2998,4987,135.06445,761.40002,2.75
77,t1,6.2416668,Exp,689.24194,4,28,-6.687573,282,0.092482343,1.9973677,677.33331,0.95833331,0.11904763,5007.2002,4986,301.33618,50.399963,-41.700012
78,t0,9.6416664,Exp,452.71014,4,9,-7.7806954,301,0.24300951,1.1711491,-121.42249,0.95833331,0.54761904,4436.25,4986.3999,250.80566,-28.799988,-67.299988
78,t1,9.6416664,Exp,448.29166,5,9,-7.7806954,182,-0.96818686,0.88552195,326.22815,0.92261904,0.75,4986.3999,4438.3335,435.8175,54.399994,1.3000183
