p_id,session,age,group,meango_corrrtnr_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_t,PBI_RT_t,cf_switchrt_t,dprimeONEBACK_t,dprimeTWOBACK_t,oneback_hits_av_rt_t,twoback_hits_av_rt_t,stroop_rt_t,flankerswitch_rt_t,flank_inh_rt_t
42,0,10.922222,2,661.72583,5,6,-42.418987,193,-.0064183772,1.3159437,166.98401,.95833331,.54761904,4736.8335,5096.2002,138.73889,193.39996,7
42,1,10.922222,2,,,6,-42.418987,,,,,,,,,,,
42,2,10.922222,2,,,6,-42.418987,,,,,,,,,,,
43,0,7.9000001,2,575.20001,5,6,-78.312538,276,-.23824263,-1.3412915,382.78625,.92261904,.54761904,4990.875,4991,403.83337,146.95001,33.200012
43,1,7.9000001,2,,,6,-78.312538,,,,,,,,,,,
43,2,7.9000001,2,,,6,-78.312538,,,,,,,,,,,
44,0,9.4944448,2,707.69489,5,5,-64.604485,,.47103536,6.0130401,157.2782,.85119045,.38095236,4257.3335,3825.2,282.26465,249.75,81.099976
44,1,9.4944448,2,,,5,-64.604485,,,,,,,,,,,
44,2,9.4944448,2,,,5,-64.604485,,,,,,,,,,,
45,0,7.0333333,2,771.10907,5,11,7.2168298,185,1.128455,4.3186417,-17.617676,.95833331,.5,5147.2856,4578,13.750977,361.94995,163.10004
45,1,7.0333333,2,479.68115,5,11,7.2168298,300,.29385546,459.96677,731.01904,.95833331,.64285713,4768.75,4838,184.66455,155.54999,28.5
45,2,7.0333333,2,562.27454,7,11,7.2168298,237,.024631066,-18.703882,,,,,,,,
46,0,8.8111115,2,414.46774,5,22,-1.7752826,225,.66185999,2.8406591,448.28748,.95833331,.41666666,4442.75,3606,213.74463,105.04999,-19.599976
46,1,8.8111115,2,423.22449,4,22,-1.7752826,76,.36073217,-6.0167508,328.66669,.75,.059523813,4677.875,5023.5,388.15625,-35.899994,-8
46,2,8.8111115,2,602.55554,,22,-1.7752826,210.47058,-.51562464,.029139567,-55.593384,,,,,,,
47,0,9.5583334,1,609.08618,6,27,-2.023231,215,-.78592545,-.44544297,174.39587,.95833331,.76190472,4746.7998,4427,181.69696,-92.099976,65.049988
47,1,9.5583334,1,764.10345,7,27,-2.023231,119,,,,,,,,,,-34.75
47,2,9.5583334,1,653.35553,,27,-2.023231,174.44444,,-1.1973689,84.27063,,,,,,,
48,0,8.8861113,2,639.4068,5,20,-6.6595201,176.92308,-.096947238,6.2600079,555.09998,.83333331,.059523813,5147.4287,4968.5,61.770508,16.649963,-4.2000122
48,1,8.8861113,2,622.94202,5,20,-6.6595201,257,-.21433955,-.35548624,429.35675,.91666669,.54761904,4985.6001,4787.7144,262.85962,124.45001,-2.2000122
48,2,8.8861113,2,441.20929,6,20,-6.6595201,269.77777,.39740589,-.96636063,172.0304,,,,,,,
49,0,7.3083334,2,686.14038,4,6,-73.71727,344,.63470095,3.7362785,684.13196,.76190472,.29761904,5147.3335,4587.75,431.83875,85.25,546.75006
49,1,7.3083334,2,,,6,-73.71727,,,,,,,,,,,
49,2,7.3083334,2,,,6,-73.71727,,,,,,,,,,,
50,0,6.6805553,1,603.67188,5,25,-8.8618689,319,.58319724,-5.6391015,544.91174,.80952382,.38095236,5010.5,5013.2002,-4.3382568,117.34998,66
50,1,6.6805553,1,559.0769,5,25,-8.8618689,243,,,,,,,,,,25.899963
50,2,6.6805553,1,763.82611,5,25,-8.8618689,142.52942,,-36.867973,129.63281,,,,,,,
51,0,9.2361107,2,,5,5,-82.228012,236,-.3784222,-.47028926,295.98889,.84523809,.63095242,3990.6365,4185.75,203.95105,191.84998,86.849976
51,1,9.2361107,2,,,5,-82.228012,,,,,,,,,,,
51,2,9.2361107,2,,,5,-82.228012,,,,,,,,,,,
52,0,10.280556,1,,5,28,-2.4134259,,.71948576,2.0051842,190.55554,.95833331,.13095239,5147,4662.5,300.12463,,
52,1,10.280556,1,613.6087,4,28,-2.4134259,168.75,-.88399506,-.29228693,,,,,,,,
52,2,10.280556,1,746.60712,,28,-2.4134259,,,,,,,,,,,
53,0,8.6861115,1,697.84851,,18,-5.7826152,269,-.24802272,.47622195,326.22815,.95833331,.91666669,4396.5,5038.875,152.07715,155.75,62.900024
53,1,8.6861115,1,657.23077,6,18,-5.7826152,286,-.23404257,-.60920435,403.82495,.95833331,.6785714,4986.6001,4986,95.070557,33.299988,3.25
53,2,8.6861115,1,518.76471,7,18,-5.7826152,280,-.069256946,1.3710626,258.43835,,,,,,,
54,0,6.7611113,1,386.36923,6,22,-11.491902,308,-.82917964,-.48793063,240.85291,.92261904,.51190472,4996,3784.1428,164.95642,83.250031,-41.700012
54,1,6.7611113,1,421.86667,6,22,-11.491902,306.23077,.50987691,-11.195237,330.19415,.95833331,.71428573,4152.0908,4014.5557,61.047363,103.65002,-21.300018
54,2,6.7611113,1,707.34088,6,22,-11.491902,302.52631,-.10490367,2.2523963,287.51404,,,,,,,
55,0,7.686111,2,619.01642,4,21,-5.5640521,140.46153,.48384112,4.9230013,,.95833331,.79761904,5148,5147.7778,209.6936,,
55,1,7.686111,2,422.67606,6,21,-5.5640521,310,-.29327708,-.21815574,389.08618,.95833331,.92261904,4937,4986.2222,557.73535,235.14996,-16.050018
55,2,7.686111,2,539.33331,6,21,-5.5640521,250.17647,-.47858047,5.1617932,170.61377,,,,,,,
56,0,9.0527782,2,654.06348,7,12,2.0144694,250.69231,.26541236,31.430063,283.51111,.91666669,.83333331,4984.875,4939.75,175.45752,100.90002,71.699951
56,1,9.0527782,2,559.18866,6,12,2.0144694,107.75,.33181772,-7.7635746,129.00549,,,,,,,
56,2,9.0527782,2,,,12,2.0144694,,,,,,,,,,,
57,0,8.9083338,2,454.95081,6,12,1.1023194,284.76923,-2.0938334,-2.3840213,290.97644,.92261904,.77380955,4451.5835,4192.2729,298.66077,14.900024,34.200012
57,1,8.9083338,2,576.17908,7,12,1.1023194,174.69231,.62585628,-23.27923,275.94739,.95833331,.77976191,3923.1667,4102.4165,283.3667,-17.599976,-1.6999512
57,2,8.9083338,2,677.3913,6,12,1.1023194,283.66666,-.0088968575,-.25424868,-5.7561646,,,,,,,
58,0,7.6527777,2,508.61819,5,30,-11.854069,254.30769,-.063519306,-15.200597,299.24451,.74404758,.26190478,5147,4754.75,142.55359,-46.200012,47.100037
58,1,7.6527777,2,517.73529,5,30,-11.854069,323.23077,.17473949,-2.5898681,341.85779,.71428573,.38095236,4986,4581.7998,-153.9397,120.29999,117.90002
58,2,7.6527777,2,597.27588,6,30,-11.854069,,.4831686,-11.037005,-149.02954,,,,,,,
59,0,7.5805554,1,710.39655,4,14,-16.192995,336,-2.2635462,-1.4232112,192.50647,.66666669,.51190472,5147.3999,5113.7998,101,173.54999,41.549988
59,1,7.5805554,1,637.60345,5,14,-16.192995,221,2.8644118,-1.8058975,231.84998,,.66666669,5147,5147,-383.90002,-54.300049,131.64996
59,2,7.5805554,1,,,14,-16.192995,,,,,,,,,,,
60,0,6.7861109,1,670.22949,4,10,-88.592064,189,-.53858209,-1.7601999,233.17139,.95833331,.58333331,5147.625,5147.6665,227.95532,62.300049,0
60,1,6.7861109,1,,,10,-88.592064,,,,,,,,,,,
60,2,6.7861109,1,,,10,-88.592064,,,,,,,,,,,
61,0,9.6499996,1,558.25,4,17,2.781496,234,1.0033829,.70211464,437.05554,.85119045,.33333331,5147.8887,4260.1431,81.130371,21.450012,33.899963
61,1,9.6499996,1,595.94116,5,17,2.781496,166,.14117721,40.830246,249.53333,.66666669,.26190478,4986.7144,4745.5,-2.0731201,124.5,31.299988
61,2,9.6499996,1,736.81396,7,17,2.781496,227,.11586738,-36.927071,41.444275,,,,,,,
62,0,9.8861113,1,461.20895,6,9,-19.434219,229,.50161183,3.4033954,154.16913,.91666669,.71428573,5147.625,4766.4443,122.20776,250.34998,4.6500244
62,1,9.8861113,1,,,9,-19.434219,,,,,.91666669,.71428573,5147.625,4766.4443,,250.34998,4.6500244
62,2,9.8861113,1,,,9,-19.434219,,,,,,,,,,,
65,0,10.083333,1,490.80951,5,14,-3.3619266,236,.79656529,1.5666823,,.88095242,.17857143,3926.1819,3091.3333,89.528687,12.75,-47
65,1,10.083333,1,602.5517,5,14,-3.3619266,225,-.084088236,-8.6525326,656.13336,.76190472,.10714287,3890.3,3848.3333,156.42871,31,76.200012
65,2,10.083333,1,642.93878,7,14,-3.3619266,198.5,.3620072,22.933264,84.517944,,,,,,,
66,0,8.1194448,1,689.24194,6,16,-12.120771,203,.54113603,-41.571407,357.47217,.6785714,.63095242,4559.5557,4202.5,130.22021,-31.75,-8
66,1,8.1194448,1,705.4314,5,16,-12.120771,205.38461,.16123822,6.6700344,809.61584,.88690472,.64285713,5020.8887,4992.7998,111.89465,95.299988,4.1500244
66,2,8.1194448,1,558.93475,6,16,-12.120771,226.55556,.67545384,33.0597,13.64502,,,,,,,
67,0,10.138889,2,502.67188,7,15,-12.508991,212,.49257055,4.6168604,775.875,.81547618,.52380955,4317.25,4270.75,144.33997,60.5,-10.850006
67,1,10.138889,2,487.32144,7,15,-12.508991,249.23077,.5524711,2.5549679,,.92261904,.88095242,4313.5454,4986,470.93091,199.10004,-2.3500366
67,2,10.138889,2,734.28571,7,15,-12.508991,290,.8694849,7.5923128,125.51672,,,,,,,
68,0,6.5250001,2,612.06818,4,17,-4.3802972,241,.22309437,-1.3522681,,.66666669,.041666668,4986,,534.57874,18.850006,18
68,1,6.5250001,2,620.93219,4,17,-4.3802972,265,2.3568716,,,.5,.57142854,4478.2222,4986,507.43274,30.450012,-57.349976
68,2,6.5250001,2,761.85712,6,17,-4.3802972,240.3158,.80989718,-100.78687,-33.335449,,,,,,,
69,0,6.852778,1,486.66666,,12,-5.0431175,366.61539,1.3514719,-1.8149728,339.07141,,.38095239,4986,4986.2002,601.4375,91.899994,-425.90002
69,1,6.852778,1,,,12,-5.0431175,,,,,,,,,,,
69,2,6.852778,1,,,12,-5.0431175,,,,,,,,,,,
70,0,6.6555557,2,604.72308,5,12,-15.521034,347,-.44171834,-1.3470211,,.91666669,.41666666,5005.5713,4915.6001,,-24.400024,
70,1,6.6555557,2,,,12,-15.521034,,,,,,,,,,,
70,2,6.6555557,2,,,12,-15.521034,,,,,,,,,,,
71,0,6.1527777,1,458.05264,,29,.75006956,257,-.33524725,,693.21924,.77976191,,4553.5835,3020,34.219238,78.299988,-21.899963
71,1,6.1527777,1,,4,29,.75006956,112.38461,.86376137,13.936395,153.41113,.92261904,.27380949,3842,4905.2002,322.11243,76.049988,89.700012
71,2,6.1527777,1,628.53064,5,29,.75006956,247.22223,.52681017,.052058265,,,,,,,,
72,0,8.4333334,1,,5,8,-13.461528,,.89647007,7.6462712,315.15295,.95833331,.54761904,5000.25,4717.2856,190.96472,344.65002,4.25
72,1,8.4333334,1,,,8,-13.461528,,,,,,,,,,,
