p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
75,8.9972219,t0,Con,-20.564966,10,569,154.07692,-0.43130523,-0.11944523,7
75,8.9972219,t1,Con,-20.564966,10,457.66666,238,-0.36931714,0.039958,6
75,8.9972219,t2,Con,-20.564966,10,688.62793,270.66666,-0.079867892,0.5285964,7
76,10.2,t0,Exp,0.41769537,25,807,262.94116,-0.069402225,-0.1129813,7
76,10.2,t1,Exp,0.41769537,25,646.26868,206,-0.066201545,-0.23340622,5
76,10.2,t2,Exp,0.41769537,25,629.48279,185.35294,0.028900752,-0.1129813,7
77,6.2416668,t0,Exp,-6.687573,28,801.04547,320.84616,0.2960518,0.43821645,4
77,6.2416668,t1,Exp,-6.687573,28,707.19147,269,-0.42880705,0.49552763,4
77,6.2416668,t2,Exp,-6.687573,28,541,289,-0.28935534,-0.080727659,7
78,9.6416664,t0,Exp,-7.7806954,9,452.71014,301,0.59130347,-0.58669102,4
78,9.6416664,t1,Exp,-7.7806954,9,448.29166,182,-0.91990674,-0.080727659,5
78,9.6416664,t2,Exp,-7.7806954,9,534.08508,250.23529,0.48718163,-0.14966482,7
79,10.511111,t0,Con,-2.1909411,18,542.33331,163,-0.060590871,0.24925506,7
79,10.511111,t1,Con,-2.1909411,18,411.78082,163,0.25124314,-0.80301034,6
79,10.511111,t2,Con,-2.1909411,18,555.75555,98.526314,0.061821826,1.2372696,7
80,10.777778,t0,Exp,-12.581874,15,543.19049,209,0.60764098,-0.067423791,6
80,10.777778,t1,Exp,-12.581874,15,705.44263,203.15384,0.41499481,-0.5084728,6
80,10.777778,t2,Exp,-12.581874,15,771.66669,145.29411,-0.40895858,-0.77925903,8
81,8.8999996,t0,Exp,-18.335716,8,575.35596,228.69231,0.70166075,-0.31314379,5
81,8.8999996,t1,Exp,-18.335716,8,569.38806,243,1.0225937,-0.38008171,5
81,8.8999996,t2,Exp,-18.335716,8,660.22223,199,-0.76278609,-0.43961516,6
82,7.0749998,t0,Exp,-12.80201,21,717.87036,229,0.048861504,-0.080857396,5
82,7.0749998,t1,Exp,-12.80201,21,621.88135,207.69231,-0.58264935,-0.12412812,6
82,7.0749998,t2,Exp,-12.80201,21,494.75,254.73685,-0.44771871,0.52402228,6
83,7.0749998,t0,Exp,-15.668471,18,685.68292,174,-0.47430116,0.89458978,4
83,7.0749998,t1,Exp,-15.668471,18,409.35715,237.76923,-0.056257058,-0.75453854,4
83,7.0749998,t2,Exp,-15.668471,18,607.62,262.82352,0.84332657,-0.43639031,6
84,10.647223,t0,Con,-61.063976,3,520.07245,256,0.59005731,0.82627386,5
84,10.647223,t1,Con,-61.063976,3,597.28125,199,0.035588786,-0.066621661,7
84,10.647223,t2,Con,-61.063976,3,498.46939,262.94116,0.080126882,-0.052606761,5
85,9.8555555,t0,Con,-21.826239,14,427.2131,318,0.31054726,0.79534459,5
85,9.8555555,t1,Con,-21.826239,14,382.81946,254,0.81444007,-0.19113988,6
85,9.8555555,t2,Con,-21.826239,14,445.59573,260.47058,-0.93859196,0.12808843,7
86,9.5527782,t0,Exp,-21.532093,6,727.18518,270,-0.33169371,-0.53647733,6
86,9.5527782,t1,Exp,-21.532093,6,594.16925,165.76923,-0.38537291,-0.97204232,5
86,9.5527782,t2,Exp,-21.532093,6,608.59418,169.94737,-0.91265476,-0.91454816,5
87,NA,t0,Exp,68.760399,6,594.34784,351,-0.63452399,-1.1286746,7
87,NA,t1,Exp,68.760399,6,NA,NA,NA,NA,NA
87,NA,t2,Exp,68.760399,6,NA,NA,NA,NA,NA
88,9.4527779,t0,Con,-2.448163,18,676.06665,223,-0.11678173,-0.38933253,6
88,9.4527779,t1,Con,-2.448163,18,417.10144,241,-0.58520019,-0.19674253,5
88,9.4527779,t2,Con,-2.448163,18,561.73334,262,0.030262569,-0.44257674,7
89,9.6700001,t0,Con,NA,NA,573.50702,332,-0.077994488,0.23143406,6
89,9.6700001,t1,Con,NA,NA,NA,NA,NA,NA,NA
89,9.6700001,t2,Con,NA,NA,487.72342,222,NA,NA,NA
90,9.4722223,t0,Con,-9.7528687,25,493.85916,212,0.58227384,-0.52240574,5
90,9.4722223,t1,Con,-9.7528687,25,588.67645,255,0.87282968,-0.18365455,7
90,9.4722223,t2,Con,-9.7528687,25,752.47729,132.21053,-0.92512256,0.1549731,7
