p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
113,10.802778,1,2,-7.3147912,13,438.85938,214,-.37611955,.48659584,6
113,10.802778,2,2,-7.3147912,13,547.23999,280.64706,.45064563,.42912382,7
114,9.0916662,0,1,-2.3365841,19,696.9375,221,.90392786,.21048918,5
114,9.0916662,1,1,-2.3365841,19,763.48212,312.07693,.73057556,-.4043974,5
114,9.0916662,2,1,-2.3365841,19,797.80853,257,-.7049908,-.0013955534,6
115,8.3638887,0,2,-17.971893,15,467.6875,302,-.41136652,.30232298,6
115,8.3638887,1,2,-17.971893,15,,,,,
115,8.3638887,2,2,-17.971893,15,,,,,
116,7.1500001,0,1,9.1586761,5,490.37704,282,.89244735,.60464495,4
116,7.1500001,1,1,9.1586761,5,,,,,
116,7.1500001,2,1,9.1586761,5,,,,,
117,7.4861112,0,2,-45.945362,5,405.15625,237.76923,,,4
117,7.4861112,1,2,-45.945362,5,,,,,
117,7.4861112,2,2,-45.945362,5,,,,,
118,6.8333335,0,2,-86.706848,8,540.58142,249,.17678562,,
118,6.8333335,1,2,-86.706848,8,532.5965,236,-.71656126,.56848323,4
118,6.8333335,2,2,-86.706848,8,709.20831,,-.91265476,,7
119,9.1555557,0,2,-11.29817,18,478.42374,238.38461,.29415512,-.39217487,5
119,9.1555557,1,2,-11.29817,18,532.83868,123,-.0036228132,-.096424401,5
119,9.1555557,2,2,-11.29817,18,508.7027,128,.014355252,-.31879693,5
120,8.458333,0,1,-1.4875633,22,481.43283,269,.99855113,.49120292,5
120,8.458333,1,1,-1.4875633,22,666.03387,181.07692,-.27698249,.34721029,5
120,8.458333,2,1,-1.4875633,22,748.29785,287,.042141072,-.91495138,6
121,7.602778,0,2,3.4555383,16,553.79663,353,-.43241689,.29140109,5
121,7.602778,1,2,3.4555383,16,655.97675,,.24633943,1.1518149,
121,7.602778,2,2,3.4555383,16,617.19568,147.26315,.44974688,.32365602,7
122,7.102778,0,1,-11.395191,15,405.56897,,-.73769546,.44917831,5
122,7.102778,1,1,-11.395191,15,604.17389,258,-.22900884,.525446,6
122,7.102778,2,1,-11.395191,15,642.26086,147.77777,.98721349,.31695512,5
123,9.0777779,0,1,-1.2134544,20,737.38098,264,.43132955,.26147008,5
123,9.0777779,1,1,-1.2134544,20,,168,.042233467,-.26506814,7
123,9.0777779,2,1,-1.2134544,20,845.73914,222.47058,.047727928,.1597708,6
124,9.1722221,0,2,-36.534496,8,382.56,136,.60055232,-.0034868717,6
124,9.1722221,1,2,-36.534496,8,,,,,
124,9.1722221,2,2,-36.534496,8,,,,,
125,7.6333332,0,2,-.18678038,33,622.9231,300,-.090318359,-.3101362,5
125,7.6333332,1,2,-.18678038,33,612.91302,219.57895,.0033860658,.35520029,6
