P_ID,T,AX_Num_Trials,BX_Num_Trials,AY_Num_Trials,BY_Num_Trials,AX_Avg_RT,BX_Avg_RT,AY_Avg_RT,BY_Avg_RT,AX_Correct_Avg_RT,AX_Incorrect_Avg_RT,BX_Correct_Avg_RT,BX_Incorrect_Avg_RT,AY_Correct_Avg_RT,AY_Incorrect_Avg_RT,BY_Correct_Avg_RT,BY_Incorrect_Avg_RT,AX_Error,BX_Error,AY_Error,BY_Error
153,0,24,12,12,12,877.4652174,1348.809091,1110.209091,998.6909091,888.6818182,630.7,1042.944444,2725.2,1110.209091,nan,998.6909091,nan,0.041666667,0.166666667,0,0
154,0,24,12,12,12,449.7695652,448.9416667,632.8916667,335.8583333,402.165,767.1333333,412.99,628.7,660.3818182,330.5,335.8583333,nan,0.125,0.166666667,0.083333333,0
155,0,24,12,12,12,364.0869565,261.5636364,410.875,281.3272727,354.715,500.4666667,242.87,757.9,435.3,288.75,281.3272727,nan,0.125,0.083333333,0.166666667,0
156,0,24,12,12,12,540.5913043,614.8,576.7583333,377.3909091,557.8083333,521.8090909,597.7375,648.925,581.95,459.9666667,383.76,313.7,0.458333333,0.333333333,0.25,0.083333333
157,0,24,11,12,12,579.8304348,452.4818182,537.5454545,536.35,600.0157895,608.2,496.06,nan,597.0111111,269.95,536.35,nan,0.208333333,0,0.166666667,0
158,0,24,12,12,12,569.926087,402.8,568.3181818,372.7454545,569.926087,nan,402.8,nan,578.86,462.9,372.7454545,nan,0,0,0.083333333,0
159,0,24,12,11,12,890.1363636,973.5272727,853.8636364,726.7916667,890.1363636,nan,854.9375,1289.766667,693.79,nan,726.7916667,nan,0,0.25,0,0
160,0,24,11,11,12,572.6347826,485.8090909,929.7272727,500.66,616.7631579,363.025,485.8090909,nan,745.9857143,451.0333333,500.66,nan,0.166666667,0,0.272727273,0
161,0,24,12,12,12,559.2695652,536.1363636,522.9583333,452.5090909,559.2695652,nan,536.1363636,nan,525.44,510.55,452.5090909,nan,0,0,0.166666667,0
162,0,24,11,12,12,528.5818182,428.3727273,888.3636364,317.43,563.8590909,434.2,469.54,nan,800.5,2811.7,370.87,592.2,0.041666667,0,0.083333333,0.083333333
163,0,24,12,12,12,632.5217391,429.3727273,586.1727273,498.9909091,600.1095238,972.85,412.29,700.2,588.45,563.4,507.17,417.2,0.083333333,0.083333333,0.083333333,0.083333333
164,0,24,12,12,12,497.1347826,512.5,647.2545455,483.1636364,497.1347826,nan,512.5,nan,647.2545455,nan,483.1636364,nan,0,0,0,0
165,0,23,12,12,12,1387.347826,1082.227273,1770.408333,1939.116667,1356.242857,953.8,1572.05,966.05,1820.609091,1218.2,1939.116667,nan,0.043478261,0.5,0.083333333,0
166,0,24,12,12,12,469.8347826,327.6636364,501.1181818,307.6916667,493.8647059,401.75,327.6636364,nan,543.5125,388.0666667,307.6916667,nan,0.25,0,0.25,0
167,0,24,12,12,12,1171.568182,1211.309091,1250.883333,1381.6,1285.842105,1074.6,1162.52,1699.2,1302.754545,680.3,1381.6,nan,0.166666667,0.083333333,0.083333333,0
168,0,24,12,12,12,407.6636364,386.4272727,413.45,317.1454545,415.6380952,240.2,369.7888889,461.3,428.79,336.75,317.1454545,nan,0.041666667,0.166666667,0.166666667,0
169,0,24,10,12,12,333.2454545,227.4545455,336.2636364,375.6166667,329.1944444,351.475,268.25,444.25,503.5166667,249.0333333,381.0363636,316,0.166666667,0.2,0.5,0.083333333
170,0,24,12,12,12,633.7636364,642.1636364,799.5,562.7818182,642.5857143,448.5,642.1636364,nan,826.8272727,498.9,562.7818182,nan,0.041666667,0,0.083333333,0
171,0,24,12,12,12,712.4304348,615.5416667,852.7583333,727.075,712.4304348,nan,611.4545455,660.5,852.7583333,nan,727.075,nan,0,0.083333333,0,0
172,0,24,12,12,12,902.4272727,607.7636364,1026.672727,530.2,902.4272727,nan,547.9,1206.4,1026.672727,nan,530.2,nan,0,0.083333333,0,0
173,0,24,12,12,12,604.2521739,572.9454545,652.2272727,650.2,597.675,717.6,445.7,912.2666667,660.61,568.4,650.2,nan,0.125,0.25,0.083333333,0
174,0,24,12,12,12,683.0913043,737.2083333,694.3727273,595.9090909,680.4772727,740.6,737.2083333,nan,694.3727273,nan,595.9090909,nan,0.041666667,0,0,0
175,0,24,12,12,12,360.126087,376.8166667,518.3166667,330.6,362.21,346.2333333,376.8166667,nan,541.8272727,259.7,320.41,432.5,0.125,0,0.083333333,0.083333333
177,0,24,12,12,12,497.9227273,510.7833333,634.9545455,554.4166667,489.3619048,677.7,513.58,652.5,671.62,268.3,554.4166667,nan,0.041666667,0.083333333,0.083333333,0
178,0,24,12,12,12,1120.426087,967.8545455,1174.963636,996.2090909,1204.094118,883.3666667,967.8545455,nan,1298.533333,1173.8,1019.8,760.3,0.25,0,0.25,0.083333333
179,0,22,12,12,12,2110.371429,1729.890909,1865.672727,1343.454545,2090.084211,2303.1,1743.13,1597.5,1948.24,1040,1430.488889,951.8,0.090909091,0.083333333,0.083333333,0.166666667
180,0,22,11,12,12,1728.790909,1978.625,1877.463636,1375.809091,1402.207143,1615.833333,496.35,2249.485714,1750.2625,2364.5,1346.79,1666,0.272727273,0.636363636,0.25,0.083333333
181,0,24,12,12,12,728.7818182,530.8,688.4909091,553.725,747.9888889,642.35,530.8,nan,954.35,371.225,553.725,nan,0.166666667,0,0.333333333,0
182,0,24,12,12,12,495.026087,552.225,670.3545455,448.7545455,488.4142857,564.45,442.625,792.5,707.5555556,715.6666667,438.32,553.1,0.083333333,0.25,0.25,0.083333333
183,0,24,12,12,12,346.3869565,281.0727273,461.95,314.6363636,350.3454545,259.3,281.0727273,nan,463.4363636,445.6,314.6363636,nan,0.041666667,0,0.083333333,0
184,0,24,11,12,12,916.7666667,960.6545455,1491.918182,1309.541667,892.37,1404.7,1116.75,1541.333333,1491.918182,nan,1309.541667,nan,0.041666667,0.272727273,0,0
186,0,24,12,12,12,759.1869565,1159.475,947.6272727,580.8272727,767.2045455,582.8,774.5666667,2314.2,1028.666667,582.95,580.8272727,nan,0.041666667,0.25,0.166666667,0
187,0,24,12,12,12,445.5869565,427.75,438.2818182,336.8181818,441.86,470.4333333,324.5714286,560.325,496.0571429,337.175,336.8181818,nan,0.125,0.333333333,0.333333333,0
188,0,24,12,12,12,1604.769565,1257.709091,2005.666667,1093.754545,1604.769565,nan,1188.422222,1569.5,2005.666667,nan,1038.95,2102.05,0,0.166666667,0,0.166666667
189,0,24,12,12,12,645.7818182,1061.2,1066.541667,856.7727273,632.6333333,921.9,1078.37,889.5,1079.854545,920.1,856.7727273,nan,0.041666667,0.083333333,0.083333333,0
190,0,24,12,12,12,420.6454545,284.8909091,456.4083333,310.3333333,420.6454545,nan,284.8909091,nan,512.4571429,377.94,310.3333333,nan,0,0,0.416666667,0
191,0,24,12,12,12,434.6181818,514.2363636,313.4,414.5333333,383.9352941,606.94,533.05,326.1,723.6,313.4,383.36,570.4,0.208333333,0.083333333,0.916666667,0.166666667
192,0,24,12,12,12,881.0652174,1041.266667,927.7727273,1036.154545,907.15,707.1666667,1032.945455,1132.8,927.7727273,nan,1036.154545,nan,0.125,0.083333333,0,0
193,0,24,12,12,12,456.8826087,402.8363636,629.2272727,380.6333333,456.8826087,nan,402.8363636,nan,629.2272727,nan,380.6333333,nan,0,0,0,0
194,0,24,12,12,12,770.1217391,848.9818182,806.7181818,680.0545455,770.1217391,nan,848.9818182,nan,806.7181818,nan,680.0545455,nan,0,0,0,0
195,0,24,12,12,12,880.2227273,913.7916667,1094.336364,867.9,880.2227273,nan,913.7916667,nan,1094.336364,nan,867.9,nan,0,0,0,0
196,0,24,12,12,12,873.0727273,947.9727273,964.5363636,925.2833333,873.0727273,nan,947.9727273,2080.6,964.5363636,nan,925.2833333,nan,0,0.083333333,0,0
197,0,24,12,12,12,615.4217391,576.6090909,584.0333333,463.7272727,620.405,582.2,432.7333333,749.26,556.4,888,471.24,388.6,0.125,0.416666667,0.083333333,0.083333333
198,0,24,12,12,12,342.9308696,211.2259091,376.7563636,265.30125,342.9308696,nan,211.2259091,nan,380.316,255.0875,265.30125,nan,0,0,0.166666667,0
199,0,24,12,12,12,489.1402174,554.7295455,605.5883333,424.303,493.0911364,402.22,528.3405,818.62,641.5465,425.7975,424.303,nan,0.041666667,0.083333333,0.166666667,0
200,0,24,12,12,12,894.6909091,1023.254545,1016.463636,1277.8,850.41875,1012.75,1149.45,1038.4,1016.463636,nan,1277.8,nan,0.25,0.333333333,0,0
201,0,24,12,12,12,647.55,699.4272727,775.1272727,391.2727273,647.55,nan,590.76,1786.1,775.1272727,244.9,391.2727273,nan,0,0.083333333,0.083333333,0
202,0,24,12,12,12,435.9863636,522.1272727,483.4,373.2727273,421.2571429,1006.05,493.24,524.4,467.4111111,651.9,373.2727273,nan,0.083333333,0.166666667,0.083333333,0
203,0,24,12,12,12,911.1347826,752.6454545,1062.345455,844.8636364,911.1347826,nan,724.58,1033.3,1062.345455,nan,844.8636364,nan,0,0.083333333,0,0
204,0,24,12,12,12,659.3047917,465.6081818,660.2554167,575.8454167,658.68375,662.41,340.6605556,1417.0575,660.2554167,nan,565.1527273,693.465,0.166666667,0.166666667,0,0.083333333
208,0,24,12,12,12,505.5359091,379.1118182,653.1786364,541.5620833,450.2013889,754.54125,379.1118182,nan,621.394375,737.9366667,541.5620833,nan,0.166666667,0,0.25,0
209,0,24,12,12,12,581.58,664.5722727,869.4668182,486.2458333,586.032,1177.1975,658.6227778,691.345,905.7045,507.09,486.2458333,nan,0.083333333,0.166666667,0.083333333,0
210,0,24,12,12,12,480.9959091,280.48625,489.1286364,312.9940909,504.6723684,331.045,280.48625,nan,513.0905,249.51,312.9940909,nan,0.125,0,0.083333333,0
